Dennis,In Front of Town Hall,MA,,172
Denton,Denton County Courthouse on The Square,TX,,173
Denver,Civic Center Park,CO,,174
Des Moines,Iowa State Capitol,IA,,175
Detroit,Hart Plaza,MI,,176
Detroit,Clark Park,MI,,177
Detroit Lakes,Veteran's Memorial Park,MN,,178
Dodge City,Dodge City Medical Center Parking Lot,KS,,179
Dothan,Angel Of Hope Statue (Westgate Park),AL,,180
Dover,Legislative Mall,DE,,181
Downers Grove,DG North: Main St Parking Lot; Fishel Park,IL,,182
Doylestown,Old Bucks County Courthouse,PA,,183
Dublin,City Hall Plaza,CA,,184
Duluth,MN Power Plaza,MN,,185
Dunkirk,"Washington Park,",NY,,186
Durango,Buckley Park,CO,,187
Durham ,,NC,,188
East Haddam,Two Wrasslin' Cats,CT,,189
East Meadow,Nassau County Correctional Facility,NY,,190
East Quogue,East Quogue Park,NY,,191
East Setauket,,NY,,192
Eastham,Windmill Green,MA,,193
Easthampton,Millside park,MA,,194
Eau Claire,Eau Claire Wilson Park,WI,,195
Edinburg,Edinburg county court,TX,,196
Edison,Oak Tree Pond Park,NJ,,197
Edwards,Edwards Rest Stop,CO,,198
El Cajon,City Hall,CA,,199
El Paso,San Jacinto Plaza,TX,,200
Elgin,Corner of Kimball Street and Grove Avenue,IL,,201
Ellensburg,"Rotary Pavilion, 104 East 4th Avenue",WA,,202
Elmira,Wisner Park,NY,,203
Encinitas,Swami's Beach Park (above the beach),CA,,204
Englewood,Depot Square,NJ,,205
Essex Junction,5 Corners,VT,,206
Eugene,"Kesey square, also known as Broadway Plaza",OR,,207
Eureka,,CA,,208
Evansville,Winfield K Denton Federal Building (Public Sidewalk),IN,,209
Everett,Snohomish County Superior Court,WA,,210
Fair Harbor,,NY,,211
Fairbanks,Golden Heart Plaza,AK,,212
Fairfield,"Sherman Green Gazebo, Downtown Fairfield",CT,,213
Fairfield,Central Park Square,IA,,214
Falmouth,Falmouth Village Green,MA,,215
Fargo,downtown Fargo Library,ND,,216
Farmington,Farmington Post Office,ME,,217
Farmington,in front of museum,NM,,218
Fayetteville,Town Center,AR,,219
Fire Island,,NY,,220
Flagstaff,Flagstaff City Hall,AZ,,221
Flemington,courthouse,NJ,,222
Flint,The Downtown Flat Lot,MI,,223
Florence,Mobile Plaza (North Court Street @ East Mobile Street),AL,,224
Ford Smith,74th Street (sidewalk in front of the post office),AR,,225
Fort Bragg,Town Hall,CA,,226
Fort Gratiot,"Birchwood Mall, on the right of way not the mall itself",MI,,227
Fort Myers,Old Fort Myers County Court House,FL,,228
Fort Wayne,Allen County Courthouse Green,IN,,229
Fort Worth,Tarrant County Court House,TX,,230
Framingham,Memorial Building,MA,,231
Frankfort,Breidert Green,IL,,232
Franklin,"The Gazebo in Downtown Franklin, NC - Across from the Courthouse",NC,,233
Frederick,Vista Shopping Center,MD,,234
Fremont,Veterans Park at Fremont Superior Court House,CA,,235
Fresno,Courthouse Park,CA,,236
Friday Harbor,San Juan county district court lawn,WA,,237
Gallup,East Historic Highway,NM,,238
Gainesville,City Hall,FL,,239
Galveston,4700 Seawall Blvd,TX,,240
Gastonia,Martin Luther King Monunment,NC,,241
Geneva,Geneva Lakefront Visitors Center,NY,,242
Gilette,Lasting Legacy Park,WY,,243
Glen Ridge,Glen Ridge Congregational Church,NJ,,244
Glen Rock,Steps of Glen Rock Borough Hall,NJ,,245
Glens Falls,Rep. Stefanik's office,NY,,246
Glenview,Glenview Veteran's Memorial,IL,,247
Glenwood Springs,Sayre Park,CO,,248
Goshen,Elkhart County Courthouse Steps,IN,,249
Gouldsboro,,ME,,250
Granbury,Hood County Courthouse,TX,,251
Grand Forks,Parking Garage behind the County Office Building,ND,,252
Grand Junction,Mesa County Old Courthouse,CO,,253
Grand Marais,Harbor Park,MN,,254
Grand Rapids,Rosa Parks Circle,MI,,255
Grand Rapids,"Central School, Downtown Grand Rapids",MN,,256
Grants Pass,,OR,,257
Granville,Town Green,MA,,258
Grass Valley,Brunswick & Sutton,CA,,259
Great Barrington,"Corner of Main Street and State Road in front of the ""GB"" shrubbery",MA,,260
Great Falls,Civic Center Steps,MT,,261
Great Neck,,NY,,262
Green Bay,Green Bay CityDeck,WI,,263
Greeneville,Greene County Courthouse,TN,,264
Greenfield,Greenfield Town Common,MA,,265
Greenfield,,CA,,266
Greenport,Mitchell Park,NY,,267
Greensboro,Governmental Plaza,NC,,268
Greensboro,LeBauer Park,NC,,269
Greenville,Pitt County Courthouse,NC,,270
Greenville,Graham plaza at main,SC,,271
Greenwich,Town Hall,CT,,272
Gulfport,Steps & deck outside Gulfport Casino,FL,,273
Half Moon Bay,Mac Dutra Park,CA,,274
Hamilton,,NY,,275
Hammond,Hammond Federal Building,IN,,276
Hanover,Corner of Dartmouth College Green closest to Wheelock Street,NH,,277
Harrisburg,Capitol Steps,PA,,278
Harrisonburg,Court Square,VA,,279
Hart,Hart Commons,MI,,280
Harwich,"Western sidewalk of Rt 137, across from Rt. 6 Exit 11 east-bound off ramp stoplight",MA,,281
Haverhill,"White's Corner. Downtown Haverhill, in front of Market Basket PLaza",MA,,282
Healdsburg,Corner of Healdsburg Ave. & Matheson St.,CA,,283
Helena,Women's Park,MT,,284
Hendersonville,Hendersonville Historic Courthouse,NC,,285
Henry County,,TN,,286
Hernando,Senator Roger Wickers Office (In front of his office),MS,,287
Highland Park,,IL,,288
Hillsboro,,OR,,289
Hilo,,HI,,290
Holland,Centennial Park,MI,,291
Hollister,4th and San Benito Street,CA,,292
Hollywood,Diplomat Hotel,FL,,293
Honolulu,Hawaii State Capitol to the Oahu Federal Bldg.,HI,,294
Horsham,Kohler Park,PA,,295
Hot Springs,Bathhouse Row,AR,,296
Houghton,portage lift bridge,MI,,297
Houston,,TX,,298
Huntington Station,49 West Jericho tpke Intersection,NY,,299
Huntsville,Big Spring Park,AL,,300
Hyannis,Old Chili's location-Intersection rt132/rt28 in Hyannis at Airport Rotary,MA,,301
Idaho City,Courthouse Lawn,ID,,302
Idaho Falls,Bonneville County Courthouse,ID,,303
Idyllwild,Town Monument,CA,,304
Indiana,IRMC PARK,PA,,305
Indianapolis,US Court/Federal Building,IN,,306
Inverness,Old Citrus County Courthouse,FL,,307
Iowa City,Pentacrest and downtown Iowa City,IA,,308
Iron Mountain,City Hall,MI,,309
Irvine,Portola High School,CA,,310
Ithaca,"Bernie Milton Pavilion, Ithaca Commons",NY,,311
Jackson,Rep. Tim Walberg's Office,MI,,312
Jackson,Governor's Mansion,MS,,313
Jackson,Madison County Courthouse,TN,,314
Jackson Heights,,NY,,315
Jackson Hole,town square,WY,,316
Jacksonville,City Hall,FL,,317
Jensen Beach,Treasure Coast Mall Entrance,FL,,318
Johnson City,Founder park,TN,,319
Johnstown,,PA,,320
Joliet,Chicago St. Plaza,IL,,321
Jonesboro,Craighead County Courthouse,AR,,322
Juneau,Capital School Park,AK,,323
Kahului,Corner of Pu'unene and Ka'ahumanu,HI,,324
Kahului,Maui Community College,HI,,325
Kailua-Kona,Queen Ka'ahumanu HWY. South of Henry Street,HI,,326
Kalamazoo,Bronson Park,MI,,327
Kalispell,Depot Park,MT,,328
Kamuela,Church Row,HI,,329
Kanab,,UT,,330
Kansas City,Penn Valley Park,MO,,331
Keene,Central Square,NH,,332
Kennett Square,,PA,,333
Kenosha,Navy Memorial Park,WI,,334
Kerrville,Kerr County Courthouse Sidewalk,TX,,335
Ketchikan,Berth 4 Ketchikan dock,AK,,336
Ketchum,Ketchum Town Square,ID,,337
Key Largo,Murray Nelson Center,FL,,338
King City,Corner of Broadway Street and San Antonio Drive ,CA,,339
Kingman,Trinity Episcopal Church,AZ,,340
Kingston,Holy Cross Santa Cruz Church Parking Lot,NY,,341
Knoxville,City County Building,TN,,342
Kodiak,Main Downtown Intersection,AK,,343
La Crosse,Cameron Park,WI,,344
Lafayette,Federal Court,LA,,345
Laguna Beach,Main Beach / Laguna Beach,CA,,346
Lake Charles,Lock Park,LA,,347
Lake Worth,Old Lake Worth City Hall,FL,,348
Lakeland,Lake Mirror,FL,,349
Lakeport,Historic Lake County Courthouse Square,CA,,350
Lambertville,North Union Street Park,NJ,,351
Lancaster,Lancaster library,CA,,352
Lancaster,outside Lancaster County Courthouse,PA,,353
Lanesboro,Lanesboro Baseball field,MN,,354
Langley,,WA,,355
Lansing,Lansing Capitol Building,MI,,356
Laredo,City Hall,TX,,357
Las Vegas,U.S. Federal Courthouse,NV,,358
Lawrence,South Park,KS,,359
Lawrenceville,Gwinnett Justice Center,GA,,360
Lenexa,Shawnee Mission Park,KS,,361
Leonia,,NJ,,362
Lewiston,Sidewalks around Lewiston Public Library,ID,,363
Lewiston/Auburn,Longley Bridge- Auburn side,ME,,364
Lexington,Fayette County Circuit Court,KY,,365
Libby,,MT,,366
Liberty,Daniel Pavilion,TX,,367
Lido Beach,March along Lido Blvd. from Townhouses to Point Lookout,NY,,368
Lincoln,Sen. Deb Fischer Office,NE,,369
Lincoln,Nebraska State Capitol Building steps,NE,,370
Litchfield,Litchfield Town Green,CT,,371
Little Rock,State Capitol grounds,AR,,372
Littleton,Littleton Post Office,NH,,373
Livermore,Flag Pole in downtown Livermore,CA,,374
Livingston,Sidewalk at Depot Park,MT,,375
Logan,Cache County Courthouse,UT,,376
Logansport,Near Logansport Farmers Market,IN,,377
Long Beach,Cesar Chavez Park to Glenn Anderson Federal building,CA,,378
Longmont,,CO,,379
Longview,Heritage Plaza,TX,,380
Longview,Corner of 30th and Ocean Beach Hwy,WA,,381
Los Angeles,Downtown,CA,,382
Louisville,steps of Metro Hall,KY,,383
Louisville,ICE offices on Seventh Street,KY,,384
Lubbock,Tim Cole Statue Memorial Park,TX,,385
Ludington,Rotary Park,MI,,386
Lufkin,Angelina County Courthouse,TX,,387
Lumpkin,Stewart Detention Center,GA,,388
Lunenburg,Outside the Lunenburg Town Hall 17 Main Street,MA,,389
Machias,Lee Pellon Center parking lot across from Helens,ME,,390
Macomb,Chandler Park,IL,,391
Madison,"State Capitol, State St Entrance",WI,,392
Madisonville,First United Bank Plaza on Center Street,KY,,393
Madras,Corner of Hwy 97 and Hwy 26 across from Sonic,OR,,394
Malibu,Corner of Webb Way and PCH,CA,,395
Malone,Arsenal Green,NY,,396
Manchester,Manchester City Hall,NH,,397
Manchester Center,Adams Park,VT,,398
Manistee,Downtown,MI,,399
Mankato,Riverfront Park Outdoor Shelter,MN,,400
Mansfield,North Common,MA,,401
Marquette,Marquette Post Office,MI,,402
Marshalltown,Marshall County Courthouse,IA,,403
Mashpee,Mashpee Rotary,MA,,404
Mason City,Central Park,IA,,405
McAllen,U.S. Border Patrol McAllen Station,TX,,406
McCall,Downtown,ID,,407
McCook,Norris Park,NE,,408
McKinney,"Mitchell Park, near the Square",TX,,409
Medford,Vogel Plaza,OR,,410
Melbourne,Eau Gallie Causeway,FL,,411
Memphis,Gaisman Park,TN,,412
