City,State,Blurb,Crowd size estimate (low),Crow size estimate (high),Event Type,Source,y,x,Crowd Size (mean estimate)
Avalon,CA,na,34,34,protest,https://twitter.com/lisakate111/status/1013176511078133760,33.347279,-118.327259,34
Bainbridge Island,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20578/signup/?source=&s=,47.6245495,-122.5144277,
Bakersfield,CA,more than one thousand,1000,1000,protest,https://act.moveon.org/event/families-belong-together/20254/signup/?source=&s=,35.373308,-119.010636,1000
Baltimore,MD,nearly 1500,1500,1500,protest,https://act.moveon.org/event/families-belong-together/20720/signup/?source=&s=,39.2890948,-76.5788091,1500
Bangor,ME,several hundred; FB: 142,142,300,protest,https://act.moveon.org/event/families-belong-together/20118/signup/?source=&s=,44.8121374,-68.7452927,221
Bar Harbor,ME,estimated 500,500,500,protest,https://act.moveon.org/event/families-belong-together/20016/signup/?source=&s=,44.420155,-68.250315,500
Barnstable,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20058/signup/?source=&s=,41.7001132,-70.2994666,
Barnstable,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20589/signup/?akid=undefined&zip=&source=,41.705481,-70.228355,
Barrington,IL,estimated 600,600,600,protest,https://act.moveon.org/event/families-belong-together/20075/signup/?source=&s=,42.204582,-88.16854,600
Barstow,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20714/signup/?source=&s=,34.89524,-117.03858,
Bath,ME,,,,protest,https://act.moveon.org/event/families-belong-together/20603/signup/?source=&s=,43.912424,-69.813991,
Baton Rouge,LA,over 175,175,175,protest,https://act.moveon.org/event/families-belong-together/20742/signup/?source=&s=,30.346638,-91.058673,175
Battle Creek,MI,video,130,132,protest,https://act.moveon.org/event/families-belong-together/20306/signup/?source=&s=,42.3162973,-85.1768565,131
Bay St Louis + Pass Christian,MS,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20509/signup/?source=&s=,30.320043,-89.259776,24
Bayside,NY,,,,protest,https://act.moveon.org/event/families-belong-together/20582/signup/?source=&s=,40.79278,-73.776701,
Beacon,NY,,,,protest,https://act.moveon.org/event/families-belong-together/20433/signup/?source=&s=,41.515148,-73.929816,
Beaver,PA,,,,protest,https://act.moveon.org/event/families-belong-together/20107/signup/?source=&s=,40.689118,-80.311421,
Bedminster,NJ,na,400,400,protest,https://act.moveon.org/event/families-belong-together/20376/signup/?source=&s=,40.659151,-74.676788,400
Belchertown,MA,na,250,250,protest,https://act.moveon.org/event/families-belong-together/20407/signup/?source=&s=,42.260162,-72.246988,250
Bellingham,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20423/signup/?source=&s=,48.755236,-122.4789013,
Bend,OR,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20247/signup/?source=&s=,44.060452,-121.312524,200
Berkeley,CA,around 1500,1500,1500,protest,https://act.moveon.org/event/families-belong-together/19916/signup/?source=&s=,37.869951,-122.272977,1500
Bethlehem,PA,about 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20415/signup/?source=&s=,40.6182492,-75.3784044,300
Big Rapids,MI,,,,protest,https://act.moveon.org/event/families-belong-together/20327/signup/?source=&s=,43.090125,-85.522776,
Billings,MT,hundreds; about 450,200,450,protest,https://act.moveon.org/event/families-belong-together/20032/signup/?source=&s=,45.7844148,-108.5056684,325
Binghamton,NY,nearly 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20051/signup/?source=&s=,42.09869,-75.91797,200
Birmingham,AL,hundreds; FB: 850,200,850,protest,https://act.moveon.org/event/families-belong-together/20069/signup/?source=&s=,33.5026327,-86.7865785,525
Bisbee,AZ,`,31,31,protest,https://act.moveon.org/event/families-belong-together/20354/signup/?source=&s=,31.412038,-109.873282,31
Bishop,CA,FB: 47,47,47,protest,https://act.moveon.org/event/families-belong-together/20142/signup/?source=&s=,37.3670392,-118.3918968,47
Bloomington,IN,hundreds; more than 250,200,250,protest,https://act.moveon.org/event/families-belong-together/20443/signup/?source=&s=,39.1670606,-86.5342344,225
Bluffton,SC,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20610/signup/?source=&s=,32.360985,-80.869959,200
Boca Raton,FL,na; about 250,200,400,protest,https://act.moveon.org/event/families-belong-together/20494/signup/?source=&s=,26.3512112,-80.0860376,300
